timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T06:40:41,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 51, 14.49, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:41,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.72, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:42,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 51, 14.51, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:42,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.75, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:43,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 55, 34.53, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:43,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.74, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:44,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 56, 89.82, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:44,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.75, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:45,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 56, 90.22, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:45,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.89, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:46,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 56, 90.22, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:46,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.68, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:47,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 56, 90.32, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:47,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.63, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:49,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 57, 90.42, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:49,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.80, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:50,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 15, 6007, 10240, 57, 90.78, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:50,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.75, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:51,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 11, 6007, 10240, 57, 91.23, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:51,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.67, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:52,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 13, 3381, 10240, 57, 94.77, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:52,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.83, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:53,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 3381, 10240, 57, 91.71, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:53,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.92, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:54,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 57, 91.78, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:54,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.91, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:55,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 57, 91.62, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:55,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.92, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:56,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 57, 91.43, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:56,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.75, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:57,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 57, 91.52, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:57,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.73, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:58,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 57, 91.56, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:40:58,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.93, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:40:59,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 57, 3663, 10240, 63, 125.66, 320.00, 1965, 9251, P2, 0x0000000000000000
2026-07-10T06:40:59,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.87, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:41:00,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 47, 3663, 10240, 67, 248.26, 320.00, 1965, 9251, P2, 0x0000000000000004
2026-07-10T06:41:00,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.32, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:41:01,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 60, 3663, 10240, 69, 249.63, 320.00, 1965, 9251, P2, 0x0000000000000004
2026-07-10T06:41:01,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 19.06, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:41:02,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 58, 3663, 10240, 68, 250.65, 320.00, 1950, 9251, P2, 0x0000000000000004
2026-07-10T06:41:02,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 19.12, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:41:03,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 60, 3663, 10240, 69, 251.95, 320.00, 1950, 9251, P2, 0x0000000000000004
2026-07-10T06:41:03,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 19.08, 320.00, 210, 405, P8, 0x0000000000000001
