timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T06:55:10,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 49, 13.85, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:10,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.50, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:11,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 49, 13.69, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:11,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.60, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:12,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 53, 36.16, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:12,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.84, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:13,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 54, 89.33, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:13,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.77, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:14,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 55, 90.54, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:14,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.67, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:15,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 55, 90.23, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:15,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.73, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:16,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 3, 6007, 10240, 55, 89.86, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:16,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.77, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:17,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 11, 6007, 10240, 56, 90.67, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:55:17,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.78, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:19,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 3381, 10240, 56, 94.49, 320.00, 1770, 9251, P2, 0x0000000000000000
2026-07-10T06:55:19,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.85, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:55:20,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 3381, 10240, 56, 92.25, 320.00, 1770, 9251, P2, 0x0000000000000000
