timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T08:16:04,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 64, 101.29, 320.00, 1965, 9501, P0, 0x0000000000000000
2026-07-10T08:16:04,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 43, 18.03, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:16:05,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 65, 122.31, 320.00, 1965, 9501, P0, 0x0000000000000000
2026-07-10T08:16:05,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 43, 17.91, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:16:06,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 116.88, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:16:06,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 43, 17.83, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:16:07,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 112.36, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:16:07,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 43, 17.96, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:16:08,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 62, 96.30, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:16:08,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 43, 17.97, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:16:09,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 62, 95.96, 320.00, 1740, 9251, P2, 0x0000000000000000
