timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T08:49:57,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 50, 13.33, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:49:57,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 18.03, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:49:58,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 50, 13.36, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:49:58,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 17.89, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:00,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 54, 40.02, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:00,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 18.10, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:01,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 55, 89.07, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:01,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 18.06, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:02,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 55, 89.69, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:02,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 17.98, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:03,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 56, 89.84, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:03,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 17.95, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:04,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 4, 6007, 10240, 56, 90.18, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:04,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 17.85, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T08:50:05,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 10, 6007, 10240, 56, 90.72, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T08:50:05,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 41, 17.92, 320.00, 210, 405, P8, 0x0000000000000001
