timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:19:15,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 5.49, 210, 405, P8
2026-07-10T02:19:15,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4499, 10240, 41, 17.95, 210, 405, P8
2026-07-10T02:19:16,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 5.50, 210, 405, P8
2026-07-10T02:19:16,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 56, 121.69, 1980, 9251, P2
2026-07-10T02:19:17,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.28, 210, 405, P8
2026-07-10T02:19:17,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 56, 4693, 10240, 61, 250.19, 1965, 9251, P2
2026-07-10T02:19:18,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 7.12, 210, 405, P8
2026-07-10T02:19:18,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 53, 4693, 10240, 62, 244.18, 1965, 9251, P2
2026-07-10T02:19:19,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.93, 210, 405, P8
2026-07-10T02:19:19,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 44, 4693, 10240, 62, 250.28, 1965, 9251, P2
2026-07-10T02:19:20,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.86, 210, 405, P8
2026-07-10T02:19:20,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 56, 4693, 10240, 63, 254.30, 1965, 9251, P2
2026-07-10T02:19:21,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.95, 210, 405, P8
2026-07-10T02:19:21,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 64, 254.87, 1965, 9251, P2
2026-07-10T02:19:22,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:19:22,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 65, 254.24, 1965, 9251, P2
2026-07-10T02:19:23,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.70, 210, 405, P8
2026-07-10T02:19:23,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 59, 4693, 10240, 65, 257.16, 1965, 9251, P2
2026-07-10T02:19:24,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.90, 210, 405, P8
